Номенклатура;Дата;Количество;Цена;Сумма;НДС;Контрагент;Организация
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2024-12-24 04:45:14;88.0;148.03;6513.41;1085.57;Лента ООО РЦ Ростов ;"ООО ""ВоронежАгро-М"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2024-12-24 04:45:10;288.0;150.41;21658.75;3609.79;Лента ООО РЦ Екатеринбург;"ООО ""ВоронежАгро-М"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2024-12-20 23:59:57;224.0;129.22;14472.64;2412.11;ВРА-М ООО;"ООО ""7 Утра"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2024-12-20 11:46:19;224.0;148.03;16579.58;2763.26;Лента ООО РЦ Лешино;"ООО ""ВоронежАгро-М"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2024-12-19 23:59:57;112.0;129.22;7236.32;1206.05;ВРА-М ООО;"ООО ""7 Утра"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2024-12-19 11:09:04;112.0;148.03;8289.79;1381.63;Лента ООО РЦ Ростов ;"ООО ""ВоронежАгро-М"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2024-12-18 23:59:57;136.0;129.22;8786.96;1464.49;ВРА-М ООО;"ООО ""7 Утра"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2024-12-18 03:55:56;136.0;148.03;10066.18;1677.7;Лента ООО РЦ Тольятти;"ООО ""ВоронежАгро-М"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2024-12-17 23:59:57;696.0;129.22;44968.56;7494.76;ВРА-М ООО;"ООО ""7 Утра"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2024-12-17 14:49:03;232.0;148.03;17171.71;2861.95;Лента ООО РЦ Ижора;"ООО ""ВоронежАгро-М"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2024-12-17 10:56:07;160.0;150.41;12032.64;2005.44;Лента ООО РЦ Екатеринбург;"ООО ""ВоронежАгро-М"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2024-12-17 06:49:13;304.0;196.9;29928.19;4988.03;Лента ООО РЦ Новосибирск;"ООО ""ВоронежАгро-М"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2024-12-13 23:59:57;320.0;129.22;20675.2;3445.87;ВРА-М ООО;"ООО ""7 Утра"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2024-12-13 08:06:08;320.0;148.03;23685.12;3947.52;Лента ООО РЦ Лешино;"ООО ""ВоронежАгро-М"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2024-12-10 23:59:57;920.0;129.22;59441.2;9906.87;ВРА-М ООО;"ООО ""7 Утра"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2024-12-10 22:19:01;232.0;148.03;17171.71;2861.95;Лента ООО РЦ Тольятти;"ООО ""ВоронежАгро-М"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2024-12-10 21:57:42;160.0;148.03;11842.56;1973.76;Лента ООО РЦ Ижора;"ООО ""ВоронежАгро-М"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2024-12-10 17:36:02;336.0;150.41;25268.54;4211.42;Лента ООО РЦ Екатеринбург;"ООО ""ВоронежАгро-М"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2024-12-10 09:28:22;192.0;148.03;14211.07;2368.51;Лента ООО РЦ Ростов ;"ООО ""ВоронежАгро-М"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2024-12-06 23:59:57;344.0;129.22;22225.84;3704.31;ВРА-М ООО;"ООО ""7 Утра"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2024-12-06 10:09:09;344.0;148.03;25461.5;4243.58;Лента ООО РЦ Лешино;"ООО ""ВоронежАгро-М"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2024-12-04 23:59:57;512.0;129.22;33080.32;5513.39;ВРА-М ООО;"ООО ""7 Утра"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2024-12-04 18:28:21;392.0;196.9;38591.62;6431.94;Лента ООО РЦ Новосибирск;"ООО ""ВоронежАгро-М"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2024-12-04 16:45:49;120.0;148.03;8881.92;1480.32;Лента ООО РЦ Ростов ;"ООО ""ВоронежАгро-М"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2024-12-03 23:59:57;600.0;129.22;38766.0;6461.0;ВРА-М ООО;"ООО ""7 Утра"""
